crime_type,spatial_unit,n_units,n_incidents,lambda,observed_50x,null_50x,observed_gini,null_gini,marginal_50x,marginal_gini
Murder,Block,89292,1435,0.016070868610849796,0.006383550598037898,0.007906986904099172,0.9869599736276127,0.9841839838557642,-0.001523436306061274,0.0027759897718484527
Murder,Tract,2320,1435,0.6185344827586207,0.09612068965517241,0.15199937621290716,0.7558185149585486,0.6284766971101852,-0.055878686557734744,0.1273418178483634
Murder,NTA,197,1418,7.197969543147208,0.17258883248730963,0.35936131650690006,0.5335175731888053,0.2084398391925637,-0.18677248401959043,0.3250777339962416
Murder,Precinct,78,1435,18.397435897435898,0.21794871794871795,0.4089660508990072,0.4301170374341106,0.13108736563603518,-0.19101733295028928,0.29902967179807544
Robbery,Block,89292,65951,0.7385992026161359,0.040843524615867044,0.16112250617752003,0.8660025562900467,0.5898277057003323,-0.12027898156165298,0.27617485058971447
Robbery,Tract,2320,65951,28.427155172413794,0.1564655172413793,0.42619840129504005,0.5481007777979368,0.10558428428903743,-0.26973288405366075,0.4425164935088993
Robbery,NTA,197,64835,329.11167512690355,0.2131979695431472,0.4780379320166897,0.4466983154035292,0.031093593250160922,-0.26483996247354247,0.4156047221533683
Robbery,Precinct,78,65951,845.525641025641,0.2564102564102564,0.4862861722337034,0.35234803305795404,0.0194012434529911,-0.22987591582344702,0.33294678960496293
Robbery (outdoor),Block,89292,38349,0.4294785647090445,0.04385611252967791,0.13441233607270395,0.8705379164045384,0.7046468119163348,-0.09055622354302603,0.16589110448820354
Robbery (outdoor),Tract,2320,38349,16.529741379310344,0.15689655172413794,0.40397639046705575,0.5440087566910435,0.1382411364544024,-0.2470798387429178,0.40576762023664115
Robbery (outdoor),NTA,197,37463,190.16751269035532,0.20812182741116753,0.4711356736057949,0.45366534913432693,0.040899130243544635,-0.26301384619462737,0.4127662188907823
Robbery (outdoor),Precinct,78,38349,491.65384615384613,0.24358974358974358,0.4820193669412215,0.37706830185121665,0.025441348134206954,-0.2384296233514779,0.3516269537170097
Felony assault,Block,89292,113077,1.2663732473233884,0.04114590332840568,0.22308980819751328,0.8542898527200864,0.4739467750141415,-0.1819439048691076,0.3803430777059449
Felony assault,Tract,2320,113077,48.74008620689655,0.1706896551724138,0.44324964997948435,0.5192447479334344,0.08070929973895791,-0.27255999480707055,0.43853544819447654
Felony assault,NTA,197,111663,566.8172588832488,0.2233502538071066,0.48325420837261857,0.4240399559752193,0.023694941071806808,-0.25990395456551196,0.4003450149034125
Felony assault,Precinct,78,113077,1449.7051282051282,0.2564102564102564,NA,0.34945361715173434,0.01481721221939758,NA,0.33463640493233676
Felony assault (outdoor),Block,89292,44002,0.4927877077453747,0.038346100434529407,0.14268519704126806,0.8820156804518073,0.6766855622465902,-0.10433909660673865,0.20533011820521718
Felony assault (outdoor),Tract,2320,44002,18.966379310344827,0.16120689655172413,0.41029819655914984,0.5424929352741019,0.1291195886916381,-0.24909130000742571,0.41337334658246383
Felony assault (outdoor),NTA,197,43293,219.76142131979697,0.2182741116751269,0.47313126384498655,0.44120003456555795,0.03804746731646336,-0.25485715216985966,0.4031525672490946
Felony assault (outdoor),Precinct,78,44002,564.1282051282051,0.2692307692307692,0.4832161884904471,0.3450530803378401,0.023751335281758656,-0.2139854192596779,0.32130174505608144
Street assault,Block,89292,109306,1.2241410204721588,0.04907494512386328,0.2199996675438027,0.8388787647562701,0.4809599342085171,-0.17092472241993942,0.357918830547753
Street assault,Tract,2320,109306,47.11465517241379,0.17974137931034484,0.4423999868346033,0.5018810132516308,0.08208605859813456,-0.26265860752425846,0.41979495465349626
Street assault,NTA,197,107598,546.1827411167512,0.233502538071066,0.48294313688834695,0.40283267205445955,0.02413828270485585,-0.24944059881728095,0.3786943893496037
Street assault,Precinct,78,109306,1401.3589743589744,0.3076923076923077,NA,0.2919181953086771,0.015070615616229022,NA,0.27684757969244805
Burglary,Block,89292,55281,0.6191036151054966,0.05056444026340546,0.15202133339928584,0.8465035281501349,0.6282779176851028,-0.10145689313588038,0.21822561046503208
Burglary,Tract,2320,55281,23.82801724137931,0.1875,0.4195150163269298,0.47934846511459633,0.11527520998730156,-0.23201501632692978,0.36407325512729477
Burglary,NTA,197,54826,278.3045685279188,0.24873096446700507,0.47612221929655796,0.3678557785303612,0.03381172442828895,-0.22739125482955289,0.3340440541020723
Burglary,Precinct,78,55281,708.7307692307693,0.32051282051282054,0.48502165159885574,0.2690373518234809,0.021190739582640394,-0.1645088310860352,0.24784661224084048
Residential burglary,Block,89292,27548,0.30851588048201406,0.040193970344487746,0.11120577244274399,0.8884284205750126,0.7666397572737872,-0.07101180209825625,0.1217886633012254
Residential burglary,Tract,2320,27548,11.874137931034483,0.1935344827586207,0.38778098892716406,0.47631917080156017,0.16285961742497568,-0.19424650616854336,0.3134595533765845
Residential burglary,NTA,197,27367,138.91878172588832,0.25888324873096447,0.46624913566087667,0.3550194489305824,0.04784637216120469,-0.2073658869299122,0.3071730767693777
Residential burglary,Precinct,78,27548,353.1794871794872,0.2948717948717949,0.478797659981752,0.29389820285711094,0.030015836166441434,-0.18392586510995712,0.2638823666906695
Commercial burglary,Block,89292,20171,0.22589929668951306,0.016832414997984144,0.08925191309086818,0.9457380676628614,0.8168599359646114,-0.07241949809288403,0.12887813169825002
Commercial burglary,Tract,2320,20171,8.694396551724138,0.09008620689655172,0.3693931564926251,0.6793307949787933,0.18994895651655064,-0.2793069495960734,0.4893818384622427
Commercial burglary,NTA,197,19990,101.47208121827411,0.15736040609137056,0.460545236985096,0.5211869894338031,0.055973691897204025,-0.3031848308937254,0.4652132975365991
Commercial burglary,Precinct,78,20171,258.6025641025641,0.24358974358974358,0.4752240272950611,0.3824067047258758,0.035075481188206026,-0.2316342837053175,0.34733122353766976
Grand larceny,Block,89292,195030,2.184182233570757,0.0484589884872105,0.26997945554991337,0.8065886191125553,0.3702618974013123,-0.22152046706270287,0.436326721711243
Grand larceny,Tract,2320,195030,84.0646551724138,0.1625,0.456706669694285,0.498881423193956,0.06148865263250647,-0.294206669694285,0.43739277056144954
Grand larceny,NTA,197,192203,975.6497461928934,0.2233502538071066,0.48723198405654233,0.4009997255703975,0.01806135260724373,-0.26388173024943573,0.38293837296315375
Grand larceny,Precinct,78,195030,2500.3846153846152,0.32051282051282054,NA,0.2823054178384128,0.011282641748679545,NA,0.27102277608973324
GLA,Block,89292,57103,0.6395085785960668,0.07549388523047977,0.1526941001959398,0.7896583464724564,0.6212556030399656,-0.07720021496546002,0.16840274343249073
GLA,Tract,2320,57103,24.613362068965518,0.23103448275862068,0.4206495840384298,0.3986841306725234,0.11343083620666816,-0.1896151012798091,0.28525329446585523
GLA,NTA,197,56160,285.0761421319797,0.29441624365482233,0.4764071032882834,0.3093205417443996,0.03340791490849593,-0.18199085963346107,0.2759126268359037
GLA,Precinct,78,57103,732.0897435897435,0.24358974358974358,0.4852641754437194,0.3863214784619965,0.02084998848634123,-0.24167443185397583,0.36547148997565526
Retail theft,Block,89292,236524,2.6488823186847648,0.0014894951395421762,0.28017135115212327,0.9899423364033639,0.3381382133694292,-0.2786818560125811,0.6518041230339348
Retail theft,Tract,2320,236524,101.95,0.03146551724137931,0.46064568282005114,0.8664534407531145,0.05584250334617136,-0.42918016557867184,0.8106109374069431
Retail theft,NTA,197,234913,1192.451776649746,0.12690355329949238,NA,0.6171341410961064,0.01633736026871646,NA,0.60079678082739
Retail theft,Precinct,78,236524,3032.358974358974,0.21794871794871795,NA,0.45472297710125587,0.010245326566479362,NA,0.4444776505347765
Vehicle accessory theft,Block,89292,35920,0.4022756797921426,0.05468575012319133,0.13006581346778698,0.8496373881113959,0.7175431174887792,-0.07538006334459565,0.1320942706226167
Vehicle accessory theft,Tract,2320,35920,15.482758620689655,0.17413793103448275,0.40102011557168354,0.49724137931034484,0.14280168263693604,-0.2268821845372008,0.3544396966734088
Vehicle accessory theft,NTA,197,35172,178.53807106598984,0.2436548223350254,0.4702034053883719,0.3964540321356224,0.04220923746379368,-0.22654858305334652,0.35424479467182873
Vehicle accessory theft,Precinct,78,35920,460.5128205128205,0.20512820512820512,0.48142452569003913,0.46359645365770086,0.026287255320047498,-0.276296320561834,0.43730919833765336
Theft from auto,Block,89292,76300,0.8544998432110379,0.08272857590825605,0.17908597426231676,0.7655349935291161,0.5579147015650476,-0.09635739835406071,0.2076202919640685
Theft from auto,Tract,2320,76300,32.88793103448276,0.22327586206896552,0.43124435708047043,0.411266608668143,0.09819249418868958,-0.2079684950115049,0.31307411447945344
Theft from auto,NTA,197,74979,380.6040609137056,0.29441624365482233,0.4795689125048137,0.30914916751986665,0.028914588415093312,-0.18515266884999138,0.28023457910477334
Theft from auto,Precinct,78,76300,978.2051282051282,0.2564102564102564,0.4872501705632037,0.37432167221158047,0.0180377492091105,-0.2308399141529473,0.35628392300246997
Pickpocket (transit),Block,89292,1191,0.013338260986426556,3.9197240514267796e-4,0.006580570074736279,0.9986236817794526,0.9868376890369582,-0.006188597669593601,0.011785992742494367
Pickpocket (transit),Tract,2320,1191,0.5133620689655173,0.0125,0.14483890420148382,0.9569273140507831,0.6681696823035581,-0.1323389042014838,0.288757631747225
Pickpocket (transit),NTA,197,1163,5.903553299492386,0.06091370558375635,0.3455655514721426,0.7992632392159259,0.22970363607680178,-0.2846518458883862,0.5695596031391241
Pickpocket (transit),Precinct,78,1191,15.26923076923077,0.11538461538461539,0.40062457340079144,0.6542552046330384,0.14378844604340868,-0.2852399580161761,0.5104667585896298
Pickpocket (non-transit),Block,89292,10832,0.12130985978587107,0.003314966626349505,0.05358561427614804,0.9820122651548492,0.8920362372348767,-0.050270647649798536,0.0899760279199725
Pickpocket (non-transit),Tract,2320,10832,4.6689655172413795,0.027155172413793102,0.3265093982454072,0.8502988431467428,0.2575339566869237,-0.2993542258316141,0.5927648864598191
Pickpocket (non-transit),NTA,197,10508,53.34010152284264,0.06598984771573604,0.4457964032832578,0.7260921821227819,0.07715926309918186,-0.37980655556752174,0.6489329190236001
Pickpocket (non-transit),Precinct,78,10832,138.87179487179486,0.1282051282051282,0.466240383055959,0.5978037533613605,0.047854458517737064,-0.3380352548508308,0.5499492948436234
Shootings,Block,89292,3860,0.043228956681449625,0.011691976884827308,0.020693426699739052,0.9732479210665642,0.9585744516351957,-0.009001449814911744,0.014673469431368491
Shootings,Tract,2320,3860,1.6637931034482758,0.09913793103448276,0.2370554742004144,0.7212533500089333,0.4197495337537299,-0.13791754316593163,0.3015038162552034
Shootings,NTA,197,3823,19.406091370558375,0.15228426395939088,0.41125785241885865,0.5857440471843544,0.127658040458424,-0.2589735884594678,0.45808600672593036
Shootings,Precinct,78,3860,49.48717948717949,0.1794871794871795,0.4437193297596135,0.5037597980603162,0.08009931928542935,-0.26423215027243396,0.4236604787748869
Gun violence,Block,89292,12693,0.14215159252788603,0.01931863996774627,0.06143446218106903,0.9462037617923162,0.8758810525689967,-0.04211582221332276,0.07032270922331951
Gun violence,Tract,2320,12693,5.471120689655172,0.10431034482758621,0.3403217008957791,0.6927578532289044,0.23839967017140606,-0.2360113560681929,0.4543581830574983
Gun violence,NTA,197,12589,63.90355329949239,0.14720812182741116,0.450400063588877,0.5918518019719899,0.07050776843153506,-0.30319194176146586,0.5213440335404549
Gun violence,Precinct,78,12693,162.73076923076923,0.1794871794871795,0.46879084031669194,0.515643591157654,0.044210283227829716,-0.2893036608295124,0.4714333079298243
Violent crime,Block,89292,186391,2.087432244769968,0.0438337141065269,0.26546514453593756,0.8381450555910318,0.37816475750000733,-0.22163143042941066,0.4599802980910245
Violent crime,Tract,2320,186391,80.34094827586208,0.16767241379310344,0.45571989368371263,0.5234610516565196,0.06289530198310334,-0.2880474798906092,0.46056574967341624
Violent crime,NTA,197,183833,933.1624365482234,0.2233502538071066,0.4869463735007253,0.4256253213265925,0.018467892931523844,-0.2635961196936187,0.40715742839506863
Violent crime,Precinct,78,186391,2389.628205128205,0.2564102564102564,NA,0.3425373790332399,0.011541135407552416,NA,0.33099624362568747
Property crime,Block,89292,307414,3.44279442727232,0.06983828338484971,0.30599622879756727,0.7540228841294168,0.2983802851370819,-0.23615794541271756,0.45564259899233484
Property crime,Tract,2320,307414,132.50603448275862,0.2021551724137931,0.46544006625198364,0.4406946921852885,0.048989408402365986,-0.26328489383819054,0.3917052837829225
Property crime,NTA,197,303189,1539.030456852792,0.26903553299492383,NA,0.34448278421362305,0.0143808255618455,NA,0.33010195865177755
Property crime,Precinct,78,307414,3941.2051282051284,0.3333333333333333,NA,0.25936167596924753,0.008986770620370566,NA,0.25037490534887696
7 Major Felonies,Block,89292,493805,5.530226672042288,0.06607534829548,0.3406054637067887,0.759281707609896,0.2371526525879294,-0.2745301154113087,0.5221290550219666
7 Major Felonies,Tract,2320,493805,212.8469827586207,0.20344827586206896,0.47270367950754916,0.4453995722519255,0.0386601659713649,-0.2692554036454802,0.4067394062805606
7 Major Felonies,NTA,197,487022,2472.192893401015,0.2639593908629442,NA,0.3507557075304471,0.011346787115374402,NA,0.3394089204150727
7 Major Felonies,Precinct,78,493805,6330.833333333333,0.32051282051282054,NA,0.25950519241089404,0.007090719997073891,NA,0.25241447241382015
