crime_type,year,quarter,year_quarter,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Shootings,2022,1,2022-Q1,289,0.0032365721453209693,0.0015342919858441966,0.0016130540191961642,-7.876203335196769e-5,0.9969376550354523,0.9967738750641697,1.6377997128258492e-4
Shootings,2022,2,2022-Q2,347,0.0038861264167002643,0.0018702683331093491,0.0019355219909576017,-6.525365784825258e-5,0.9962674996556323,0.9961289267877407,1.385728678916509e-4
Shootings,2022,3,2022-Q3,407,0.0045580791112305695,0.0021950454687989967,0.0022686672782276265,-7.362180942862987e-5,0.9956175861632117,0.995462618309226,1.5496785398572133e-4
Shootings,2022,4,2022-Q4,251,0.002811002105451776,0.0013439053890606102,0.0014015538856719722,-5.7648496611362047e-5,0.997320175910612,0.9971968811539255,1.2329475668648726e-4
Shootings,2023,1,2023-Q1,222,0.0024862249697621287,0.0010863235228239932,0.0012400243873461451,-1.537008645221519e-4,0.9978130260350392,0.9975199435603126,2.9308247472659144e-4
Shootings,2023,2,2023-Q2,260,0.002911795009631322,0.0013999014469381356,0.001451662341366455,-5.176089442831926e-5,0.99719804341159,0.9970966630092439,1.0138040234608514e-4
Shootings,2023,3,2023-Q3,277,0.0031021816064149086,0.0014446982932401558,0.0015462840096480744,-1.0158571640791862e-4,0.9971137165517555,0.996907417099949,2.06299451806502e-4
Shootings,2023,4,2023-Q4,215,0.0024078304887335932,0.0011871164270035389,0.0012010187457611706,-1.3902318757631716e-5,0.9976365496427191,0.997597955545382,3.859409733708574e-5
Shootings,2024,1,2024-Q1,182,0.0020382565067419253,9.631321954934373e-4,0.0010170524191776991,-5.392022368426181e-5,0.9980706589025363,0.9979658909377409,1.0476796479541584e-4
Shootings,2024,2,2024-Q2,255,0.0028557989517537965,0.0013215069659096,0.0014238255610671058,-1.0231859515750586e-4,0.9973601921169848,0.9971523372657034,2.0785485128138603e-4
Shootings,2024,3,2024-Q3,256,0.0028669981633293014,0.0013215069659096,0.0014293931672507132,-1.0788620134111323e-4,0.9973482366841374,0.9971412019163175,2.070347678199136e-4
Shootings,2024,4,2024-Q4,211,0.002363033642431573,0.0011423195807015187,0.0011787270550878762,-3.640747438635747e-5,0.9977248615915449,0.9976425393078864,8.232228365856464e-5
Shootings,2025,1,2025-Q1,139,0.0015566904089952067,7.727455987098508e-4,7.771341904556984e-4,-4.388591745847553e-6,0.9984655468744209,0.9984457297363583,1.9817138062649953e-5
Shootings,2025,2,2025-Q2,198,0.002217443891950007,0.001063925099672983,0.001106265233477571,-4.234013380458794e-5,0.9978703398270661,0.997787464093467,8.287573359910816e-5
Shootings,2025,3,2025-Q3,216,0.002419029700309098,0.0011423195807015187,0.0012065913556242225,-6.427177492270377e-5,0.9977116277680718,0.9975868102281229,1.248175399488627e-4
Shootings,2025,4,2025-Q4,135,0.0015118935626931864,7.391479639833355e-4,7.548044460431259e-4,-1.5656482059790374e-5,0.9985322396266266,0.9984903893829984,4.185024362823864e-5
Gun violence,2022,1,2022-Q1,967,0.010829637593513417,0.0033373650495005154,0.005356389384885935,-0.00201902433538542,0.9926270390150883,0.9892865930026551,0.003340446012433218
Gun violence,2022,2,2022-Q2,1151,0.012890292523406352,0.0036397437620391522,0.006362422268014034,-0.002722678505974882,0.9916710850523978,0.9872740982275002,0.004396986824897531
Gun violence,2022,3,2022-Q3,1258,0.014088608161985396,0.004367692514446983,0.006945524076068908,-0.0025778315616219252,0.9903638885571263,0.9861075731471568,0.004256315409969513
Gun violence,2022,4,2022-Q4,785,0.008791381086771492,0.0034829547999820814,0.004357159349489828,-8.742045495077466e-4,0.9928946637825486,0.9912853445354067,0.001609319247141916
Gun violence,2023,1,2023-Q1,771,0.00863459212471442,0.0033597634726515255,0.0042801250342696245,-9.20361561618099e-4,0.9931151866363861,0.9914394308145353,0.0016757558218507551
Gun violence,2023,2,2023-Q2,816,0.00913855664561215,0.0037629350893697085,0.0045276486223297064,-7.64713532959998e-4,0.9923393824447307,0.9909443246273483,0.0013950578173824724
Gun violence,2023,3,2023-Q3,821,0.009194552703489674,0.0036621421851901624,0.004555135705732462,-8.929935205422997e-4,0.992518558362188,0.9908893434884943,0.0016292148736937184
Gun violence,2023,4,2023-Q4,701,0.007850647314429065,0.0031693768758679387,0.0038945878102776056,-7.252109344096668e-4,0.993541921125215,0.9922105843411817,0.001331336784033299
Gun violence,2024,1,2024-Q1,592,0.00662993325269901,0.0026318147202436947,0.003293037109390558,-6.612223891468635e-4,0.9946148818150229,0.9934137810305195,0.0012011007845034172
Gun violence,2024,2,2024-Q2,833,0.009328943242395735,0.0035053532231330915,0.004621092030239161,-0.0011157388071060697,0.9927622843250995,0.9907574137591455,0.002004870565953998
Gun violence,2024,3,2024-Q3,795,0.008903373202526542,0.0034269587421045557,0.004412168941194164,-9.85210199089608e-4,0.9929631338859405,0.99117531235641,0.0017878215295304978
Gun violence,2024,4,2024-Q4,697,0.007805850468127044,0.002934193432782332,0.0038725386989514467,-9.383452661691147e-4,0.9939417085697139,0.992254686638955,0.0016870219307588696
Gun violence,2025,1,2025-Q1,576,0.006450745867490929,0.0024078304887335932,0.003204611538770545,-7.967810500369519e-4,0.9950275111743244,0.9935906435701054,0.0014368676042190165
Gun violence,2025,2,2025-Q2,734,0.008220221296420731,0.0033485642610760202,0.0040764170153769945,-7.278527543009743e-4,0.9931830978935595,0.9918468905118482,0.0013362073817113629
Gun violence,2025,3,2025-Q3,746,0.008354611835326793,0.003158177664292434,0.00414250313688597,-9.843254725935362e-4,0.9934705594045214,0.991714704575356,0.0017558548291654041
Gun violence,2025,4,2025-Q4,428,0.004793262554316176,0.0018926667562603593,0.002385161926720893,-4.924951704605336e-4,0.9961248634638178,0.9952296213462122,8.952421176056102e-4
Pickpocket (non-transit),2022,1,2022-Q1,452,0.005062043632128298,0.001455897504815661,0.0025182312644086084,-0.0010623337595929475,0.9967766092275954,0.994963472942809,0.0018131362847864096
Pickpocket (non-transit),2022,2,2022-Q2,507,0.005678000268781078,0.0012767101196075796,0.0028229107570972665,-0.0015462006374896869,0.9968706928870472,0.9943540874751651,0.0025166054118821446
Pickpocket (non-transit),2022,3,2022-Q3,660,0.007391479639833356,0.0010191282533709627,0.0036684900144120297,-0.0026493617610410672,0.9968840739066516,0.9926628195437088,0.004221254362942739
Pickpocket (non-transit),2022,4,2022-Q4,948,0.01061685257357882,0.0011871164270035389,0.005252266430191914,-0.004065150003188375,0.9962643305016812,0.9894948750946873,0.006769455406993918
Pickpocket (non-transit),2023,1,2023-Q1,718,0.00804103391121265,0.0012431124848810643,0.003988274321675331,-0.002745161836794267,0.9963120902695135,0.9920231934768965,0.004288896792617014
Pickpocket (non-transit),2023,2,2023-Q2,638,0.007145096985172244,0.001063925099672983,0.003547082974417407,-0.002483157874744424,0.9968252868226917,0.9929056529612509,0.0039196338614407855
Pickpocket (non-transit),2023,3,2023-Q3,731,0.008186623661694217,0.0017918738520808135,0.0040598926861935385,-0.002268018834112725,0.9956449774554202,0.9918799425248505,0.0037650349305697883
Pickpocket (non-transit),2023,4,2023-Q4,932,0.010437665188370738,0.0012543116964565694,0.005164549195035485,-0.003910237498578916,0.9959671542986035,0.9896703389384026,0.00629681536020088
Pickpocket (non-transit),2024,1,2024-Q1,768,0.008600994489987905,0.0017806746405053084,0.004263614510365555,-0.0024829398698602467,0.9954640568303992,0.9914724555623953,0.003991601268003908
Pickpocket (non-transit),2024,2,2024-Q2,709,0.007940241007033106,0.0016238856784482373,0.003938680059824792,-0.0023147943813765547,0.9958597825855514,0.9921223915520027,0.0037373910335487537
Pickpocket (non-transit),2024,3,2024-Q3,630,0.0070555032925682035,0.0017694754289298033,0.0035029200171293536,-0.0017334445881995503,0.9958498210614861,0.9929939855873317,0.0028558354741544667
Pickpocket (non-transit),2024,4,2024-Q4,797,0.008925771625677552,0.0015566904089952067,0.004423169367763107,-0.0028664789587678997,0.9957150298927613,0.991153308864793,0.004561721027968257
Pickpocket (non-transit),2025,1,2025-Q1,591,0.006618734041123505,0.0017022801594767727,0.003287511445737727,-0.0015852312862609543,0.9960638466483431,0.9934248330885109,0.002639013559832204
Pickpocket (non-transit),2025,2,2025-Q2,571,0.006394749809613403,0.0019262643909868746,0.003176972005886929,-0.0012507076149000545,0.9957949608333563,0.9936459260712698,0.002149034762086499
Pickpocket (non-transit),2025,3,2025-Q3,555,0.006215562424405322,0.001859069121533844,0.003088504563160035,-0.0012294354416261908,0.9959605150103739,0.9938228715534307,0.002137643456943117
Pickpocket (non-transit),2025,4,2025-Q4,625,0.006999507234690678,0.0012767101196075796,0.0034753141213022076,-0.0021986040016946278,0.9965466469560543,0.9930492014884723,0.0034974454675820166
