crime_type,month_of_year,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini,month_label
Shootings,1,288,0.0032253729337454644,0.0015566904089952067,0.0016074905393610108,-5.080013036580402e-5,0.9968846748744444,0.9967850021984527,9.967267599175766e-5,Jan
Shootings,2,233,0.0026094162970926845,0.0012655109080320745,0.0013013065811856065,-3.579567315353197e-5,0.9974786393063679,0.9973973779769445,8.126132942343212e-5,Feb
Shootings,3,311,0.0034829547999820814,0.001579088832146217,0.0017354189487333623,-1.5633011658714542e-4,0.9968403459123166,0.9965291410501341,3.1120486218250143e-4,Mar
Shootings,4,306,0.0034269587421045557,0.001590288043721722,0.0017076140499263722,-1.1732600620465014e-4,0.9968105670197419,0.9965847518457784,2.2581517396347284e-4,Apr
Shootings,5,343,0.003841329570398244,0.0018142722752318237,0.0019132963166896798,-9.90240414578561e-5,0.9963767122223167,0.9961733791342532,2.0333308806352868e-4,May
Shootings,6,411,0.00460287595753259,0.002161447834072481,0.002290860979653842,-1.2941314558136087e-4,0.9956790934862224,0.9954182295051329,2.608639810894875e-4,Jun
Shootings,7,454,0.005084442055279309,0.0023518344308560675,0.0025293171311007823,-1.7748270024471472e-4,0.9952828624829569,0.99494130035052,3.4156213243696776e-4,Jul
Shootings,8,353,0.003953321686153295,0.0018254714868073288,0.0019688567543111064,-1.433852675037776e-4,0.9963478197197241,0.9960622557204588,2.855639992652703e-4,Aug
Shootings,9,349,0.0039085248398512745,0.0018814675446848542,0.0019466340784706937,-6.51665337858395e-5,0.9962451193579238,0.9961067021050375,1.3841725288632478e-4,Sep
Shootings,10,291,0.0032589705684719795,0.0015454911974197016,0.0016241806038166985,-7.868940639699684e-5,0.9969152907030534,0.9967516215420694,1.6366916098398132e-4,Oct
Shootings,11,268,0.0030013887022353625,0.001455897504815661,0.0014961946869195566,-4.029718210389567e-5,0.9970868677710761,0.997007597147903,7.927062317314437e-5,Nov
Shootings,12,253,0.0028334005286027864,0.0013551046006361153,0.0014126899735044814,-5.7585372868366146e-5,0.9972978028828984,0.9971746087116646,1.2319417123374254e-4,Dec
Gun violence,1,1030,0.011535187922770238,0.004322895668144962,0.0057013187582588545,-0.0013784230901138922,0.9910408482000149,0.9885966038291064,0.0024442443709085104,Jan
Gun violence,2,832,0.009317744030820231,0.003583747704161627,0.004615596353314246,-0.0010318486491526194,0.9926221693992743,0.9907684065552089,0.0018537628440653542,Feb
Gun violence,3,1044,0.011691976884827308,0.0039421224745777896,0.005777902890580706,-0.0018357804160029165,0.9916011705879354,0.9884434043300324,0.003157766257902983,Mar
Gun violence,4,1123,0.01257671459929221,0.004468485418626529,0.006209600935769803,-0.001741115517143274,0.9906426747841903,0.9875798158807076,0.003062858903482679,Apr
Gun violence,5,1190,0.01332706177485105,0.0047484657080141554,0.006575118793268001,-0.0018266530852538458,0.9900321370316706,0.9868485945335506,0.003183542498120029,May
Gun violence,6,1221,0.013674237333691708,0.004681270438561125,0.006744050976367087,-0.0020627805378059614,0.9900492574528322,0.986510636933704,0.0035386205191282327,Jun
Gun violence,7,1360,0.015230927742686915,0.005073242843703803,0.007500059937283403,-0.0024268170935795993,0.9891381317343494,0.9849981401179739,0.00413999161637546,Jul
Gun violence,8,1200,0.013439053890606102,0.0045916767459570846,0.006629626038893172,-0.0020379492929360876,0.9902584591378101,0.9867395504853568,0.003518908652453301,Aug
Gun violence,9,1060,0.01187116427003539,0.004681270438561125,0.005865397861989686,-0.0011841274234285605,0.990407156845592,0.9882683776586192,0.0021387791869728057,Sep
Gun violence,10,1002,0.011221609998656094,0.004367692514446983,0.005548077587281957,-0.001180385072834974,0.9910351093718132,0.9889031461569925,0.0021319632148206757,Oct
Gun violence,11,871,0.009754513282264928,0.0038749272051247594,0.00482983569112974,-9.549084860049802e-4,0.9920887406495584,0.9903398690431777,0.0017488716063807086,Nov
Gun violence,12,738,0.008265018142722753,0.0033709626842270304,0.0040984477127568395,-7.274850285298091e-4,0.9931384646239062,0.9918028246016264,0.001335640022279816,Dec
Pickpocket (non-transit),1,891,0.00997849751377503,0.0017134793710522778,0.004939628732152373,-0.0032261493611000953,0.9952178863802152,0.9901202506801073,0.005097635700107905,Jan
Pickpocket (non-transit),2,735,0.008231420507996237,0.0017470770057787931,0.004081924876311822,-0.0023348478705330295,0.9956251003738861,0.9918358736656872,0.003789226708198923,Feb
Pickpocket (non-transit),3,903,0.01011288805268109,0.0019710612372888948,0.005005480714062769,-0.003034419476773874,0.9948317808968884,0.9899885266431022,0.004843254253786178,Mar
Pickpocket (non-transit),4,748,0.008377010258477802,0.001847869909958339,0.0041535157491018925,-0.0023056458391435535,0.9954315301764253,0.9916926770255876,0.003738853150837662,Apr
Pickpocket (non-transit),5,766,0.008578596066836894,0.0020270572951664205,0.004252606872690784,-0.0022255495775243637,0.9951429633453022,0.9914944732885337,0.003648490056768483,May
Pickpocket (non-transit),6,911,0.010202481745285132,0.0014222998700891458,0.005049372102360053,-0.0036270722322709068,0.9955944809498584,0.9899007301864964,0.005693750763361982,Jun
Pickpocket (non-transit),7,790,0.008847377144649017,0.0022062446803745015,0.00438466569931169,-0.002178421018937189,0.994837843922117,0.9912303253788516,0.0036075185432654644,Jul
Pickpocket (non-transit),8,784,0.008780181875195987,0.002071854141468441,0.004351657706557414,-0.0022798035650889734,0.9950245217022435,0.9912963491028869,0.0037281725993566495,Aug
Pickpocket (non-transit),9,1002,0.011221609998656094,0.001478295927966671,0.005548077587281957,-0.004069781659315286,0.9953188636837332,0.9889031461569925,0.00641571752674075,Sep
Pickpocket (non-transit),10,1052,0.01178157057743135,0.0017806746405053084,0.005821654342792025,-0.004040979702286717,0.9946540371922835,0.9883558831998693,0.006298153992414179,Oct
Pickpocket (non-transit),11,976,0.010930430497692963,0.0016574833131747526,0.005405695150899091,-0.0037482118377243387,0.9950483879377515,0.9891879638307354,0.005860424107016149,Nov
Pickpocket (non-transit),12,1274,0.014267795547193478,9.407337723424271e-4,0.007032595139425437,-0.00609186136708301,0.9960690064122782,0.9859333779984697,0.01013562841380855,Dec
